02:00:21: 1 ec:da:3b:aa:c1:3e 0000080000000000
02:00:36: 2 ec:da:3b:aa:c1:3e 0000090000000000
02:00:41: 3 ec:da:3b:aa:c1:3e 0000000000000000
02:00:47: 4 ec:da:3b:aa:c1:3e 0000010000000000
02:00:56: 5 ec:da:3b:aa:c1:3e 0000030000000000
02:00:01: 2 00:16:a4:44:79:fc cc03000000
02:00:01: 4 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:01: 5 23:c5:e8:c7:63:cc c00f01015a0e144658eeea169000353300
02:00:01: 7 26:b3:49:94:9d:b8 c00f01015a2d5e13b963ac069400353300
02:00:01: 8 1b:75:1f:c4:f9:2d c00f01015add11c579ebc403de00343000
02:00:01: 9 42:e1:0e:89:41:09 0f1101f1d724a2f9606261a4a32490b7d4d5ea
02:00:01: 10 0e:45:94:4f:94:1d c00f010150dc4fa67963c246c400353300
02:00:02: 12 10:de:30:4d:0c:78 c00f01013c9fa45699628a065e00333000
02:00:02: 13 0d:a3:f6:eb:56:ed c00f01012389d4a37866ec53de00353300
02:00:02: 15 38:31:21:a3:1b:ca c00c0101489fd07499e7ea475a00
02:00:02: 16 00:16:a4:44:79:fc cc03000000
02:00:02: 18 42:e1:0e:89:41:09 0f1101f1d724a2f9606261a4a32490b7d4d5ea
02:00:02: 19 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:02: 20 46:db:b8:ac:60:50 0f1101f06033310473629e9b4282c019914d24
02:00:02: 23 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:02: 24 1b:75:1f:c4:f9:2d c00f01015add11c579ebc403de00343000
02:00:02: 25 0e:45:94:4f:94:1d c00f010150dc4fa67963c246c400353300
: 26 42:e1:0e:89:41:09 0f1101f1d724a2f9606261a4a32490b7d4d5ea
02:00:03: 27 10:de:30:4d:0c:78 c00f01013c9fa45699628a065e00333000
02:00:03: 28 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:03: 29 0d:a3:f6:eb:56:ed c00f01012389d4a37866ec53de00353300
02:00:03: 30 38:31:21:a3:1b:ca c00c0101489fd07499e7ea475a00
02:00:03: 31 1a:f8:e9:5b:e4:0f c00f0101500f29659966ec525800333000
02:00:03: 32 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:03: 33 46:db:b8:ac:60:50 0f1101f06033310473629e9b4282c019914d24
02:00:03: 35 00:16:a4:44:79:fc cc03000000
02:00:03: 36 1b:1a:44:09:c7:01 c00f01013c9b55f3b96fcc431200343000
02:00:03: 38 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:03: 39 23:c5:e8:c7:63:cc c00f01015a0e144658eeea169000353300
02:00:03: 41 1b:75:1f:c4:f9:2d c00f01015add11c579ebc403de00343000
02:00:03: 43 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:04: 44 10:de:30:4d:0c:78 c00f01013c9fa45699628a065e00333000
02:00:04: 45 0d:a3:f6:eb:56:ed c00f01012389d4a37866ec53de00353300
02:00:04: 46 0e:45:94:4f:94:1d c00f010150dc4fa67963c246c400353300
02:00:04: 48 2e:0e:60:87:5b:1d c00f010150bb1cd5b8e3ea138800353300
02:00:04: 49 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:04: 50 27:67:5e:9c:f6:55 c00f01013c2b286078e7e807c800353300
02:00:04: 51 03:28:e9:d1:fd:27 c00f0101052a5bd018ebce578a00353300
02:00:04: 53 42:e1:0e:89:41:09 0f1101f1d724a2f9606261a4a32490b7d4d5ea
02:00:04: 54 42:e6:b4:c5:35:33 0f1101f351a7144d886a248cf52098950dc327
02:00:04: 56 23:c5:e8:c7:63:cc c00f01015a0e144658eeea169000353300
