02:07:37: 7052 2a:0a:49:14:cb:e4 c00f0101628ee554d8efce530600353300
02:07:37: 7053 cc:b5:c3:d7:d6:32 cc03000000
02:07:37: 7057 cc:b5:c3:d7:d6:32 cc03000000
02:07:37: 7060 07:22:02:72:d7:3f c00f0101482935b319efca03da00353300
02:07:37: 7062 23:37:52:0d:56:12 c00f0101502e35b7d9e78a139800353300
02:07:37: 7063 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:38: 7066 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:38: 7067 cc:b5:c3:d7:d6:32 cc03000000
02:07:38: 7068 26:b3:49:94:9d:b8 c00f01015a2d5e13b963ac069400353300
02:07:38: 7069 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:38: 7071 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:38: 7072 79:48:cc:3d:df:09 0f1101c25e3f2d86aa6af28b4144a4f9923565
02:07:38: 7074 f9:f8:2b:f6:9b:6f cc03000000
02:07:38: 7075 e1:51:34:af:3c:0e cc03000000
02:07:38: 7076 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:38: 7078 79:48:cc:3d:df:09 0f1101c25e3f2d86aa6af28b4144a4f9923565
02:07:38: 7079 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:38: 7080 31:e7:f1:80:ad:8b c00c010148d833553963c0528e00
02:07:38: 7083 cc:b5:c3:d7:d6:32 cc03000000
02:07:39: 7090 1b:75:1f:c4:f9:2d c00f01015add11c579ebc403de00343000
02:07:39: 7091 cc:b5:c3:d7:d6:32 cc03000000
02:07:39: 7093 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:39: 7094 cc:b5:c3:d7:d6:32 cc03000000
02:07:39: 7095 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:39: 7100 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:39: 7101 cc:b5:c3:d7:d6:32 cc03000000
02:07:39: 7103 cc:b5:c3:d7:d6:32 cc03000000
02:07:39: 7106 e1:51:34:af:3c:0e cc03000000
83 cc:b5:c3:d7:d6:32 cc03000000
02:07:39: 7090 1b:75:1f:c4:f9:2d c00f01015add11c579ebc403de00343000
02:07:39: 7091 cc:b5:c3:d7:d6:32 cc03000000
02:07:39: 7093 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:39: 7094 cc:b5:c3:d7:d6:32 cc03000000
02:07:39: 7095 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea134200102:07:40: 7115 20:cf:8b:e0:cf:73 c40d010188a5f29963ac1302000301
02:07:40: 7117 20:cf:8b:e0:cf:73 c40d010188a5f29963ac1302000301
02:07:40: 7120 20:cf:8b:e0:cf:73 c40d010188a5f29963ac1302000301
02:07:40: 7121 e1:51:34:af:3c:0e cc03000000
02:07:40: 7123 cc:b5:c3:d7:d6:32 cc03000000
02:07:40: 7124 17:9b:4e:cf:bf:d8 c00c010148dc8b23b863c402d400
02:07:40: 7126 cc:b5:c3:d7:d6:32 cc03000000
02:07:40: 7127 79:48:cc:3d:df:09 0f1101c25e3f2d86aa6af28b4144a4f9923565
02:07:40: 7129 31:e7:f1:80:ad:8b c00c010148d833553963c0528e00
02:07:40: 7133 07:22:02:72:d7:3f c00f0101482935b319efca03da00353300
02:07:40: 7138 e1:51:34:af:3c:0e cc03000000
02:07:40: 7139 cc:b5:c3:d7:d6:32 cc03000000
02:07:40: 7140 20:cf:8b:e0:cf:73 c40d010188a5f29963ac1302000301
02:07:41: 7142 f9:f8:2b:f6:9b:6f cc03000000
02:07:41: 7145 22:fd:79:ac:b4:73 c40d0101ab4ba05967ea1342001301
02:07:41: 7146 e1:51:34:af:3c:0e cc03000000
02:07:41: 7147 20:cf:8b:e0:cf:73 c40d010188a5f29963ac1302000301
