03:25:13: 117636 21:f6:94:ef:96:b6 c00f0101489e83a13862cc568600353300
03:25:13: 117637 1c:f1:61:a0:24:39 c00f0101480872a739eaec57da00353300
03:25:14: 117638 f4:06:bc:f8:ef:e1 cc03000000
03:25:14: 117639 1b:6b:9b:25:07:a2 c00f01015a9ccfe1b96eca17d400353300
03:25:14: 117640 f4:06:bc:f8:ef:e1 cc03000000
03:25:14: 117642 c0:ed:60:88:05:b4 cc03000000
03:25:14: 117643 45:55:b0:a4:9f:2f 0f11019d9ce94e0019682cabb4687d60ca3292
03:25:14: 117644 fb:65:0c:d6:f9:ef cc03000000
03:25:15: 117648 42:30:70:6c:26:f2 0f1101ede2d7a0fa4468c593f1b4298bd7825c
03:25:15: 117649 c0:ed:60:88:05:b4 cc03000000
03:25:15: 117650 09:81:16:84:44:3a c00f0101489e33e6186a8c478c00353300
03:25:15: 117651 1c:5e:ad:2c:b7:80 c00f01015aaf3c70b8eeea17d400353300
03:25:16: 117655 c0:ed:60:88:05:b4 cc03000000
03:25:16: 117656 fb:65:0c:d6:f9:ef cc03000000
03:25:16: 117657 20:ed:02:4d:95:01 c00f0101505e5385b9ebc4039600343000
03:25:16: 117658 fb:65:0c:d6:f9:ef cc03000000
03:25:16: 117659 1c:5e:ad:2c:b7:80 c00f01015aaf3c70b8eeea17d400353300
03:25:16: 117660 c0:ed:60:88:05:b4 cc03000000
03:25:16: 117661 56:6b:d6:39:b4:66 0f1101d25802656cc862e9bfb8f06043282ae4
03:25:17: 117664 56:6b:d6:39:b4:66 0f1101d25802656cc862e9bfb8f06043282ae4
03:25:17: 117665 f4:06:bc:f8:ef:e1 cc03000000
03:25:18: 117666 c0:ed:60:88:05:b4 cc03000000
03:25:18: 117669 20:ed:02:4d:95:01 c00f0101505e5385b9ebc403960034303:25:19: 117675 c0:ed:60:88:05:b4 cc03000000
03:25:19: 117676 20:ed:02:4d:95:01 c00f0101505e5385b9ebc4039600343000
03:25:20: 117681 d9:9f:a3:a6:2e:36 cc03000000
03:25:20: 117682 45:55:b0:a4:9f:2f 0f11019d9ce94e0019682cabb4687d60ca3292
03:25:20: 117683 f4:06:bc:f8:ef:e1 cc03000000
