02:10:51: 10784 cc:b5:c3:d7:d6:32 cc03000000
02:10:52: 10787 37:9a:26:22:4d:b1 c00f01015a2e5e533963ac069400353300
02:10:52: 10788 cc:b5:c3:d7:d6:32 cc03000000
02:10:52: 10790 07:22:02:72:d7:3f c00f0101482935b319efca03da00353300
02:10:52: 10792 2f:95:30:7a:11:b9 c00f01015a98dcd658eaec165a00353300
02:10:52: 10793 e1:51:34:af:3c:0e cc03000000
02:20:43: 16340 50:24:d6:8a:ec:0d 0f11014443a3289aa46c4fa4c74d5980d97e3d
02:20:43: 16341 1b:0a:39:cf:3e:67 c00f0101505f11c5b9e3c0139e00343000
02:20:44: 16344 3e:ee:5a:97:a9:9b c00f01010f1d5c67d8efe8479200353300
02:20:43: 16343 50:24:d6:8a:ec:0d 0f11014443a3289aa46c4fa4c74d5980d97e3d
02:20:44: 16345 50:24:d6:8a:ec:0d 0f11014443a3289aa46c4fa4c74d5980d97e3d
02:20:44: 16346 3b:aa:36:ee:2b:18 c00f0101502f5c53796fa816d600353300
02:20:44: 16347 03:b5:4a:cd:a9:9b c00f01010f1d5c67d8efe8479200353300
02:20:45: 16348 3e:ee:5a:97:bc:da c00f0101050e2e0138e3ee16da00353300
02:20:45: 16349 1b:0a:39:cf:3e:67 c00f0101505f11c5b9e3c0139e00343000
02:20:45: 16350 50:24:d6:8a:ec:0d 0f11014443a3289aa46c4fa4c74d5980d97e3d
02:20:45: 16351 03:b5:4a:cd:a9:9b c00f01010f1d5c67d8efe8479200353300
02:20:46: 16352 3e:ee:5a:97:bc:da c00f0101050e2e0138e3ee16da00353300
02:20:46: 16354 1b:0a:39:cf:3e:67 c00f0101505f11c5b9e3c0139e00343000
02:20:46: 16355 3b:aa:36:ee:2b:18 c00f0101502f5c53796fa816d600353300
