02:26:24: 19375 d6:76:7a:9d:94:6d cc03000000
02:26:25: 19376 2b:4b:b9:e3:78:56 c00f01013c9c6f50796fcc57dc00353300
02:26:25: 19377 1b:0a:39:cf:3e:67 c00f0101505f11c5b9e3c0139e00343000
02:26:25: 19378 e3:82:64:56:fb:5f cc03000000
02:26:25: 19388 2c:94:b0:92:2e:30 c00f0101508c4e51d9eac8128a00343000
02:26:26: 19389 0f:c8:da:2b:ac:ab c00f01013c8a294259678c029000353300
02:26:26: 19390 21:aa:de:ad:05:c7 c00f010123bf565678e6ae438200353300
02:26:27: 19397 4f:0c:db:ac:3f:17 0f110115bce95c51436ce1aae705ea19144e03
02:26:27: 19398 1b:0a:39:cf:3e:67 c00f0101505f11c5b9e3c0139e00343000
02:26:27: 19399 00:16:a4:44:73:5e c10b01000000001451ac470134
02:26:27: 19400 1d:d2:1b:6e:8d:f8 c00f01013cffd7b2386bc453de00343000
02:26:27: 19410 2c:94:b0:92:2e:30 c00f0101508c4e51d9eac8128a00343000
02:26:28: 19411 0f:c8:da:2b:ac:ab c00f01013c8a294259678c029000353300
02:26:28: 19412 e3:82:64:56:fb:5f cc03000000
02:26:28: 19413 e3:82:64:56:fb:5f cc03000000
02:26:29: 19418 4a:75:f4:62:eb:b7 0f110150b5a84a756e6ccd8740f314c9796581
02:26:29: 19426 00:19:d9:75:8a:33 c00f01013c983be3b96a8c178600353300
02:26:29: 19427 4f:0c:db:ac:3f:17 0f110115bce95c51436ce1aae705ea19144e03
02:26:29: 19428 03:f3:ac:de:69:73 c00f0101039c6202d8ebe847c000343000
02:26:29: 19429 e3:82:64:56:fb:5f cc03000000
02:26:30: 19430 1e:04:a6:1c:2c:53 c00f01010fbc19b318e68e169c00353300
02:26:30: 19431 4a:75:f4:62:eb:b7 0f110150b5a84a756e6ccd8740f314c9796581
02:26:30: 19432 0f:c8:da:2b:ac:ab c00f01013c8a294259678c029000353300
02:26:30: 19433 e3:82:64:56:fb:5f cc03000000
02:26:30: 19434 4f:0c:db:ac:3f:17 0f110115bce95c51436ce1aae705ea19144e03
02:26:30: 19435 e3:82:64:56:fb:5f cc03000000
02:26:30: 19436 4a:75:f4:62:eb:b7 0f110150b5a84a756e6ccd8740f314c9796581
