02:17:45: 16147 0c:78:a3:48:13:31 c00f0101500a9ca7f86ba812de00353300
02:17:46: 16149 37:9a:26:22:4d:b1 c00f01015a2e5e533963ac069400353300
02:17:46: 16150 66:ad:71:d0:14:97 0f1101422d4a36b6446c9695ff7a462511f1ce
02:17:47: 16151 37:9a:26:22:4d:b1 c00f01015a2e5e533963ac069400353300
02:17:47: 16152 66:ad:71:d0:14:97 0f1101422d4a36b6446c9695ff7a462511f1ce
02:17:47: 16153 27:17:51:74:00:ce c00f010148894254186ea8478200343000
02:17:47: 16155 0a:d4:1c:8f:58:22 c00f010150a93fb7d8678a138800353300
02:17:47: 16157 66:ad:71:d0:14:97 0f1101422d4a36b6446c9695ff7a462511f1ce
02:17:48: 16159 1a:36:1b:a9:c3:8e c00f01015add5385396bc4139400343000
02:17:49: 16161 1a:36:1b:a9:c3:8e c00f01015add5385396bc4139400343000
02:17:49: 16162 66:ad:71:d0:14:97 0f1101422d4a36b6446c9695ff7a462511f1ce
02:17:49: 16163 66:ad:71:d0:14:97 0f1101422d4a36b6446c9695ff7a462511f1ce
02:17:50: 16165 37:9a:26:22:4d:b1 c00f01015a2e5e533963ac069400353300
02:17:50: 16166 0a:d4:1c:8f:58:22 c00f010150a93fb7d8678a138800353300
02:17:50: 16167 66:ad:71:d0:14:97 0f1101422d4a36b6446c9695ff7a462511f1ce
02:17:50: 16168 66:ad:71:d0:14:97 0f1101422d4a36b6446c9695ff7a462511f1ce
02:17:51: 16171 00:47:61:16:16:87 c00f01013c9d0ff5f8ea88174200353300
02:17:51: 16172 1a:36:1b:a9:c3:8e c00f01015add5385396bc4139400343000
