02:04:11: 3375 3c:5c:85:c8:11:c2 c00f0101239d0896186aac429200353300
02:04:11: 3377 4a:95:e4:d3:91:f8 0f1101d6800dc462e86c49b0eb4b3b8fe5ea3c
02:04:11: 3378 ec:80:1b:41:8d:ef cc03000000
02:04:11: 3380 33:7f:a4:87:e0:fd c00f01015019f851386f8a064a00343000
02:04:11: 3382 c5:e6:43:dd:f1:e3 cc03000000
02:04:11: 3383 c5:e6:43:dd:f1:e3 cc03000000
02:04:11: 3384 2a:ab:35:54:a5:72 c00f0101239a5481f867a843d000353300
02:04:11: 3385 02:b5:22:61:85:14 c00f0101489b2d1778eb88478400353300
02:04:11: 3388 3e:36:5a:c8:a6:99 c003000000
02:04:11: 3391 64:c9:17:fd:20:b7 0f1101343443cc6c3769d9ab6913e6845c54dc
02:04:12: 3393 c5:e6:43:dd:f1:e3 cc03000000
02:04:12: 3394 4a:95:e4:d3:91:f8 0f1101d6800dc462e86c49b0eb4b3b8fe5ea3c
02:04:12: 3396 64:c9:17:fd:20:b7 0f1101343443cc6c3769d9ab6913e6845c54dc
19f851386f8a064a00343000
02:04:12: 3399 08:fa:4d:df:bc:6d c00f0101488a7c06b8e6e8479a00353300
02:04:12: 3400 c5:e6:43:dd:f1:e3 cc03000000
02:04:12: 3402 ec:80:1b:41:8d:ef cc03000000
02:04:12: 3404 26:b3:49:94:9d:b8 c00f01015a2d5e13b963ac069400353300
02:04:12: 3405 c5:e6:43:dd:f1:e3 cc03000000
02:04:12: 3406 05:19:9d:3e:0b:53 c00f010132bd69e7b96f8a561200353300
02:04:12: 3407 ec:80:1b:41:8d:ef cc03000000
02:04:13: 3409 3d:9d:33:5b:5e:f9 c00f010148bd5cc198eaea128200353300
02:04:13: 3410 64:c9:17:fd:20:b7 0f1101343443cc6c3769d9ab6913e6845c54dc
02:04:13: 3411 1e:30:61:e0:99:2e c00f0101482e005238efac16c200353300
02:04:13: 3414 21:e0:7e:66:25:6f c00c01015a0aa7b058efa8031a00
02:04:13: 3415 24:31:6e:90:75:62 c00f01013c3f8da738e2cc060200353300
02:04:13: 3417 08:fa:4d:df:bc:6d c00f0101488a7c06b8e6e8479a00353300
02:04:13: 3418 ec:80:1b:41:8d:ef cc03000000
02:04:13: 3419 4a:95:e4:d3:91:f8 0f1101d6800dc462e86c49b0eb4b3b8fe5ea3c
02:04:13: 3420 c5:e6:43:dd:f1:e3 cc03000000
02:04:13: 3421 1b:75:1f:c4:f9:2d c00f01015add11c579ebc403de00343000
02:04:13: 3422 02:b5:22:61:85:14 c00f0101489b2d1778eb88478400353300
02:04:13: 3423 26:b3:49:94:9d:b8 c00f01015a2d5e13b963ac069400353300
02:04:13: 3428 64:c9:17:fd:20:b7 0f1101343443cc6c3769d9ab6913e6845c54dc
02:04:14: 3430 c5:e6:43:dd:f1:e3 cc03000000
02:04:14: 3431 4a:95:e4:d3:91:f8 0f1101d6800dc462e86c49b0eb4b3b8fe5ea3c
02:04:14: 3432 ec:80:1b:41:8d:ef cc03000000
02:04:14: 3433 1e:30:61:e0:99:2e c00f0101482e005238efac16c200353300
02:04:14: 3436 64:c9:17:fd:20:b7 0f1101343443cc6c3769d9ab6913e6845c54dc
02:04:14: 3439 2e:d0:b4:3c:04:c8 c00f0101508e4b771966e8130000343000
02:04:14: 3440 08:fa:4d:df:bc:6d c00f0101488a7c06b8e6e8479a00353300
02:04:14: 3445 64:c9:17:fd:20:b7 0f1101343443cc6c3769d9ab6913e6845c54dc
02:04:15: 3447 64:c9:17:fd:20:b7 0f1101343443cc6c3769d9ab6913e6845c54dc
02:04:15: 3448 3b:31:f2:9e:ed:ad c00f01013c2896a7b8e3e802c600353300
02:04:15: 3449 4a:95:e4:d3:91:f8 0f1101d6800dc462e86c49b0eb4b3b8fe5ea3c
02:04:15: 3451 32:3d:db:2c:8d:6d c00f01015038258778ea8e575800353300
02:04:15: 3452 c5:e6:43:dd:f1:e3 cc03000000
02:04:15: 3454 c5:e6:43:dd:f1:e3 cc03000000
02:04:15: 3455 1b:75:1f:c4:f9:2d c00f01015add11c579ebc403de00343000
02:04:15: 3459 3e:36:5a:c8:a6:99 c00f0101329b14c119eaee52d800353300
