: 5365 22:cf:19:5e:7c:8d c00f01013c9bf0b1d86eaa439000353300
02:06:27: 5366 3d:dd:c2:76:f4:ab c00f010150ac5c5339efa8169e00353300
02:06:27: 5367 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:06:28: 5379 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:06:28: 5380 c0:ed:60:88:05:b4 cc03000000
02:06:28: 5381 3d:dd:c2:76:f4:ab c00f010150ac5c5339efa8169e00353300
02:06:28: 5382 20:c9:ee:91:b3:22 c00f010148adfe4178e28c471600353300
02:06:28: 5383 c0:ed:60:88:05:b4 cc03000000
02:06:28: 5384 03:3b:eb:d3:53:59 c00f0101324aaca61862ea560000353300
02:06:28: 5385 c0:ed:60:88:05:b4 cc03000000
02:06:29: 5392 c0:ed:60:88:05:b4 cc03000000
02:06:29: 5393 3d:dd:c2:76:f4:ab c00f010150ac5c5339efa8169e00353300
02:06:29: 5394 20:c9:ee:91:b3:22 c00f010148adfe4178e28c471600353300
02:06:29: 5395 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:06:29: 5396 03:3b:eb:d3:53:59 c00f0101324aaca61862ea560000353300
02:06:29: 5397 3e:8b:f5:ba:e6:21 c00f0101505f53c5796fc403d600343000
02:06:29: 5398 24:da:03:11:7d:00 c00f01013c7b48061867c8020800353300
02:06:29: 5399 c0:ed:60:88:05:b4 cc03000000
02:06:30: 5407 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:06:30: 5408 3d:dd:c2:76:f4:ab c00f010150ac5c5339efa8169e00353300
02:06:30: 5409 20:c9:ee:91:b3:22 c00f010148adfe4178e28c471600353300
02:06:30: 5410 18:31:e5:d3:5b:fa c00c01013cf8e77179ef8252c600
02:06:30: 5411 03:3b:eb:d3:53:59 c00f0101324aaca61862ea560000353300
02:06:30: 5412 3e:8b:f5:ba:e6:21 c00f0101505f53c5796fc403d600343000
02:06:30: 5413 24:da:03:11:7d:00 c00f01013c7b48061867c8020800353300
02:06:30: 5414 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:06:31: 5420 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:06:31: 5421 c0:ed:60:88:05:b4 cc03000000
02:06:31: 5422 3d:dd:c2:76:f4:ab c00f010150ac5c5339efa8169e00353300
02:06:31: 5423 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:06:31: 5424 c0:ed:60:88:05:b4 cc03000000
02:06:31: 5425 03:3b:eb:d3:53:59 c00f0101324aaca61862ea560000353300
02:06:31: 5426 30:97:95:e5:85:ed c00c0101482c49465867ac025a00
02:06:31: 5427 3e:8b:f5:ba:e6:21 c00f0101505f53c5796fc403d600343000
02:06:32: 5434 c0:ed:60:88:05:b4 cc03000000
02:06:32: 5435 2c:6e:b6:de:ec:1d c00f0101489a0ae5d8eba8179000353300
02:06:32: 5436 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:06:32: 5437 c0:ed:60:88:05:b4 cc03000000
02:06:32: 5438 3d:dd:c2:76:f4:ab c00f010150ac5c5339efa8169e00353300
02:06:32: 5439 03:3b:eb:d3:53:59 c00f0101324aaca61862ea560000353300
02:06:32: 5440 3e:8b:f5:ba:e6:21 c00f0101505f53c5796fc403d600343000
02:06:32: 5441 c0:ed:60:88:05:b4 cc03000000
02:06:32: 5442 59:f2:b3:44:03:bc 0f1101937d6464558f6ca2a2759616c6f5b7c6
