03:07:49: 9170409 49214 32:ff:c7:21:84:4c c01301013c1bd12258e3ca17960036310000000102
03:07:49: 9170409 49215 de:58:41:f0:15:7c cc03000100
03:07:49: 9170409 49216 de:58:41:f0:15:7c e200e908008fd255000000b0
03:07:49: 9170409 49217 69:51:70:ce:f9:4f 0f1101f4b2e6085b616e6286361e239e561402
03:07:49: 9170409 49218 ec:c2:e6:44:1c:88 cc03000100
03:07:49: 9170409 49219 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:07:49: 9170409 49220 de:58:41:f0:15:7c cc03000100
03:07:49: 9170409 49221 de:58:41:f0:15:7c e200e908008fd255000000b0
03:07:49: 9170409 49222 ec:c2:e6:44:1c:88 cc03000100
03:07:49: 9170409 49223 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:07:49: 9170409 49224 07:61:71:0c:e2:5c c00f01013c1fd1b37966ce430800333000
03:07:49: 9170409 49225 de:58:41:f0:15:7c e200e908008fd255000000b0
03:07:49: 9170409 49226 ec:c2:e6:44:1c:88 cc03000100
03:07:49: 9170409 49227 3d:b1:e6:dd:7c:fb c00f01013c3dbbb4996788578400353300
03:07:49: 9170409 49228 de:58:41:f0:15:7c e200e908008fd255000000b0
03:07:49: 9170409 49229 de:58:41:f0:15:7c cc03000100
