04:24:30: 9170409 105407 4e:02:9f:e4:16:bf 0f1101ad076403c98b687aa94f131c6865cca4
04:24:30: 9170409 105408 f2:99:ac:70:23:3d cc03000000
04:24:30: 9170409 105409 0c:33:a2:40:f1:98 c01301010f1c2e9719e6ec42d00036310000000102
04:24:30: 9170409 105410 f2:99:ac:70:23:3d cc03000000
04:24:30: 9170409 105411 01:86:b2:dc:11:1c c0130101320ccca3f866ea16d80036310000000102
04:24:30: 9170409 105412 f2:99:ac:70:23:3d cc03000000
04:24:31: 9170409 105413 f2:99:ac:70:23:3d cc03000000
04:24:32: 9170409 105416 f2:99:ac:70:23:3d cc03000000
04:24:32: 9170409 105417 2a:f9:31:3e:1c:66 c00f01013caf4237f866ec579200353300
04:24:32: 9170409 105418 2d:c0:c0:ee:0b:8c c01301010fbc6031f8e2e803dc0036310000000102
04:24:32: 9170409 105419 27:f1:cc:a6:bf:f9 c00f0101238d8c04f86ba846de00353300
04:24:32: 9170409 105420 f2:99:ac:70:23:3d cc03000000
04:24:32: 9170409 105421 f2:99:ac:70:23:3d cc03000000
04:24:32: 9170409 105422 37:fd:4f:c7:01:3a c01301013ccc70b25863ee56420036310000000102
04:24:32: 9170409 105423 0c:33:a2:40:f1:98 c01301010f1c2e9719e6ec42d00036310000000102
04:24:32: 9170409 105424 f2:99:ac:70:23:3d cc03000000
04:24:32: 9170409 105425 0e:68:73:5a:2e:bf c01301013c386a7039e3aa13860036310000000102
04:24:32: 9170409 105426 f2:99:ac:70:23:3d cc03000000
04:24:33: 9170409 105431 f2:99:ac:70:23:3d cc03000000
04:24:33: 9170409 105432 0e:68:73:5a:2e:bf c01301013c386a7039e3aa13860036310000000102
04:24:33: 9170409 105433 f2:99:ac:70:23:3d cc03000000
04:24:34: 9170409 105434 f2:99:ac:70:23:3d cc03000000
04:24:34: 9170409 105435 f2:99:ac:70:23:3d cc03000000
04:24:34: 9170409 105436 f2:99:ac:70:23:3d cc03000000
04:24:34: 9170409 105437 f2:99:ac:70:23:3d cc03000000
04:24:35: 9170409 105444 27:f1:cc:a6:bf:f9 c00f0101238d8c04f86ba846de00353300
04:24:35: 9170409 105445 f2:99:ac:70:23:3d cc03000000
04:24:35: 9170409 105446 02:99:43:71:94:38 c00f0101329c93b339e6ca434800333000
04:24:36: 9170409 105447 3f:09:00:00:30:83 c00f01013c8dde35f8e7ea57da00353300
04:24:37: 9170409 105454 34:e7:ac:4f:0d:7f c00f0101232febf0d9e7a8031000333000
04:24:37: 9170409 105455 f2:99:ac:70:23:3d cc03000000
04:24:38: 9170409 105463 37:fd:4f:c7:01:3a c01301013ccc70b25863ee56420036310000000102
04:24:38: 9170409 105464 0c:33:a2:40:f1:98 c01301010f1c2e9719e6ec42d00036310000000102
04:24:38: 9170409 105465 02:99:43:71:94:38 c00f0101329c93b339e6ca434800333000
04:24:38: 9170409 105466 f2:99:ac:70:23:3d cc03000000
04:24:38: 9170409 105467 6d:6e:08:4b:80:de 0f1101c48b5d6470c6652c9949064d270ec6a4
04:24:38: 9170409 105468 19:e5:bb:f4:3a:68 c00f0101480e3983d8eb8a535400353300
04:24:39: 9170409 105469 3f:09:00:00:30:83 c00f01013c8dde35f8e7ea57da00353300
04:24:40: 9170409 105475 34:e7:ac:4f:0d:7f c00f0101232febf0d9e7a8031000333000
04:24:40: 9170409 105476 27:f1:cc:a6:bf:f9 c00f0101238d8c04f86ba846de00353300
04:24:40: 9170409 105477 02:99:43:71:94:38 c00f0101329c93b339e6ca434800333000
04:24:41: 9170409 105478 19:e5:bb:f4:3a:68 c00f0101480e3983d8eb8a535400353300
04:24:41: 9170409 105479 2a:f9:31:3e:1c:66 c00f01013caf4237f866ec579200353300
04:24:41: 9170409 105480 12:65:b5:9c:eb:70 c00f01010f1ba3f5396eca130200333000
04:24:42: 9170409 105486 12:65:b5:9c:eb:70 c00f01010f1ba3f5396eca130200333000
04:24:42: 9170409 105487 14:dc:a7:97:d5:9f c00f01013c8b1a607863a8068200353300
04:24:42: 9170409 105488 0e:42:5a:15:d8:84 c00f010148ae5e53f9e3a8069c00353300
04:24:42: 9170409 105489 34:e7:ac:4f:0d:7f c00f0101232febf0d9e7a8031000333000
04:24:42: 9170409 105490 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b62040000000000000000000000
04:24:42: 9170409 105491 27:f1:cc:a6:bf:f9 c00f0101238d8c04f86ba846de00353300
04:24:42: 9170409 105492 2d:4e:cf:aa:a7:6b c01301013c3d8de1f96b8e47960036310000000000
04:24:42: 9170409 105493 f2:99:ac:70:23:3d cc03000000
04:24:42: 9170409 105494 f2:99:ac:70:23:3d cc03000000
04:24:43: 9170409 105500 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b62040000000000000000000000
04:24:44: 9170409 105501 19:e5:bb:f4:3a:68 c00f0101480e3983d8eb8a535400353300
04:24:44: 9170409 105502 2a:f9:31:3e:1c:66 c00f01013caf4237f866ec579200353300
04:24:44: 9170409 105503 2c:1d:03:03:0c:36 c00f01013c1d5845796e8c571a00353300
04:24:44: 9170409 105504 14:dc:a7:97:d5:9f c00f01013c8b1a607863a8068200353300
04:24:44: 9170409 105505 3f:09:00:00:30:83 c00f01013c8dde35f8e7ea57da00353300
