02:38:31: 6493638 21552 1a:a0:d0:a2:cb:fb c01301013c3ee4c639eeec53840036310000000102
02:38:31: 6493638 21553 07:31:f4:5e:34:f1 c00f01013c1dd3f3b96aca430a00333000
02:38:31: 6493638 21554 0c:b1:79:61:d9:a7 c00f010123ec6285186bae160a00353300
02:38:32: 6493638 21555 07:20:34:d1:8b:82 c01301013c1c28b27967a802ce0036310000000000
02:45:14: 9170409 22325 de:58:41:f0:15:7c cc03000100
02:45:14: 9170409 22326 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:45:15: 9170409 22328 de:58:41:f0:15:7c cc03000100
02:45:1:41:f0:15:7c cc03000100
02:45:15: 9170409 22333 25:28:52:8d:92:ed c00f010148ac5e53796ba816de00353300
02:45:15: 9170409 22336 de:58:41:f0:15:7c cc03000100
02:45:15: 9170409 22337 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:45:16: 9170409 22340 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:45:16: 9170409 22341 f6:ef:ab:77:d9:c3 cc03000100
02:45:16: 9170409 22344 25:28:52:8d:92:ed c00f010148ac5e53796ba816de00353300
02:45:16: 9170409 22345 de:58:41:f0:15:7c cc03000100
02:45:17: 9170409 22347 de:58:41:f0:15:7c cc03000100
02:45:17: 9170409 22348 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:45:17: 9170409 22351 25:28:52:8d:92:ed c00f010148ac5e53796ba816de00353300
02:45:17: 9170409 22352 de:58:41:f0:15:7c cc03000100
02:45:17: 9170409 22354 2f:fa:0d:03:dd:af c00f01013c7def0678eac053cc00333000
02:45:18: 9170409 22355 de:58:41:f0:15:7c cc03000100
02:45:18: 9170409 22358 de:58:41:f0:15:7c cc03000100
02:45:18: 9170409 22360 de:58:41:f0:15:7c cc03000100
02:45:19: 9170409 22362 de:58:41:f0:15:7c cc03000100
02:45:19: 9170409 22365 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:45:19: 9170409 22366 de:58:41:f0:15:7c cc03000100
02:45:19: 9170409 22370 ec:c2:e6:44:1c:88 cc03000100
02:45:19: 9170409 22371 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:45:20: 9170409 22374 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:45:20: 9170409 22376 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:45:20: 9170409 22377 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:45:20: 9170409 22379 25:28:52:8d:92:ed c00f010148ac5e53796ba816de00353300
02:45:20: 9170409 22380 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:45:20: 9170409 22381 f6:ef:ab:77:d9:c3 cc03000100
02:45:20: 9170409 22383 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:45:21: 9170409 22384 2f:fa:0d:03:dd:af c00f01013c7def0678eac053cc00333000
02:45:21: 9170409 22388 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:45:21: 9170409 22389 de:58:41:f0:15:7c cc03000100
02:45:21: 9170409 22392 25:28:52:8d:92:ed c00f010148ac5e53796ba816de00353300
02:45:21: 9170409 22393 de:58:41:f0:15:7c cc03000100
02:45:22: 9170409 22395 de:58:41:f0:15:7c cc03000100
02:45:22: 9170409 22397 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:45:22: 9170409 22398 de:58:41:f0:15:7c cc03000100
02:45:22: 9170409 22399 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
