02:44:00: 6493638 22706 79:0f:17:d4:9b:33 0f1101f2a771d395d96d85b46139123bd01acf
02:44:00: 6493638 22707 4f:a7:a8:15:34:f6 0f1101d5a6db76b7b7602499d958321bcfd663
02:44:00: 6493638 22708 36:d5:98:78:47:b9 c01301013c1a8c64186eee43820036310000000000
02:44:00: 6493638 22711 08:e8:05:87:fd:40 c01301013c4f5dd5b8668c06400036310000000000
02:44:01: 6493638 22712 39:4b:c5:ce:7e:0a c013010132a9c287b8ef8a165c0036310000000000
02:44:01: 6493638 22713 08:e8:05:87:fd:40 c01301013c4f5dd5b8668c06400036310000000000
02:48:21: 9170409 24424 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:48:21: 9170409 24425 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:21: 9170409 24426 1b:94:87:38:f7:ea c00f01013c9c91f3b96aca530000333000
02:48:21: 9170409 24427 de:58:41:f0:15:7c cc03000100
02:48:21: 9170409 24431 ec:c2:e6:44:1c:88 cc03000100
02:48:21: 9170409 24432 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:22: 9170409 24434 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:22: 9170409 24435 de:58:41:f0:15:7c cc03000100
02:48:22: 9170409 24436 25:28:52:8d:92:ed c00f010148ac5e53796ba816de00353300
02:48:22: 9170409 24437 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:48:22: 9170409 24441 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:48:22: 9170409 24442 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:22: 9170409 24446 de:58:41:f0:15:7c cc03000100
02:48:22: 9170409 24447 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:23: 9170409 24454 de:58:41:f0:15:7c cc03000100
02:48:23: 9170409 24455 ec:c2:e6:44:1c:88 cc03000100
02:48:23: 9170409 24456 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:48:23: 9170409 24460 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:23: 9170409 24461 de:58:41:f0:15:7c cc03000100
02:48:23: 9170409 24462 f6:ef:ab:77:d9:c3 e200e911004f0f444f58f44882d1460607d06543b0
02:48:23: 9170409 24463 f6:ef:ab:77:d9:c3 cc03000100
02:48:23: 9170409 24466 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:48:24: 9170409 24467 2f:2c:34:28:93:fa c00f0101483cffd5b86b8817de00353300
02:48:24: 9170409 24468 de:58:41:f0:15:7c cc03000100
02:48:24: 9170409 24472 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:24: 9170409 24473 de:58:41:f0:15:7c cc03000100
02:48:24: 9170409 24474 ec:c2:e6:44:1c:88 cc03000100
2 f6:ef:ab:77:d9:c3 e200e911004f0f444f58f44882d1460607d06543b0
02:48:23: 9170409 24463 f6:ef:ab:77:d9:c3 cc03000100
02:48:23: 9170409 24466 ec:c2:e6:44:1c:88 e60e0100000000000000000000010100
02:48:25: 9170409 24487 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:25: 9170409 24488 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:48:25: 9170409 24496 de:58:41:f0:15:7c cc03000100
02:48:26: 9170409 24498 de:58:41:f0:15:7c cc03000100
02:48:26: 9170409 24499 25:28:52:8d:92:ed c00f010148ac5e53796ba816de00353300
02:48:26: 9170409 24500 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:26: 9170409 24501 de:58:41:f0:15:7c cc03000100
02:48:26: 9170409 24502 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:48:26: 9170409 24503 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:26: 9170409 24509 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:26: 9170409 24510 de:58:41:f0:15:7c cc03000100
02:48:26: 9170409 24513 ec:c2:e6:44:1c:88 cc03000100
02:48:26: 9170409 24514 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:26: 9170409 24515 f6:ef:ab:77:d9:c3 cc03000100
:f0:15:7c cc03000100
02:48:26: 9170409 24502 1100
02:48:27: 9170409 24516 2f:2c:34:28:93:fa c00f0101483cffd5b86b8817de00353300
02:48:27: 9170409 24517 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
02:48:27: 9170409 24518 de:58:41:f0:15:7c cc03000100
02:48:27: 9170409 24519 25:28:52:8d:92:ed c00f010148ac5e53796ba816de00353300
02:48:27: 9170409 24520 de:58:41:f0:15:7c e200e911004f0f444f58f44882d1460607d06543b0
