02:55:59: 9170409 32862 7d:27:15:c4:8c:ed 0f1101be75254aea3163858281852651c02f03
02:55:59: 9170409 32863 02:74:82:e3:cb:0a c01301013c98d162d86bce179e0036310000000102
02:55:59: 9170409 32864 08:14:63:1d:5b:32 c01301010f0e42f33863aa56d00036310000000102
02:55:59: 9170409 32865 2f:e0:84:1e:16:ee c00f01013cfdb152b86e84028600343000
02:55:59: 9170409 32866 ec:c2:e6:44:1c:88 cc03000100
02:56:00: 9170409 32867 ec:c2:e6:44:1c:88 cc03000100
02:56:00: 9170409 32868 05:9c:64:fb:64:be c00f01013cbdfbb419e78857c600353300
02:56:00: 9170409 32869 de:58:41:f0:15:7c cc03000100
02:56:00: 9170409 32878 ec:c2:e6:44:1c:88 cc03000100
02:56:00: 9170409 32879 59:15:77:43:08:bd 0f1101f4b2e6085b616e6286361e239e561402
02:56:00: 9170409 32880 02:74:82:e3:cb:0a c01301013c98d162d86bce179e0036310000000102
02:56:00: 9170409 32881 1b:14:54:b0:ac:00 c013010148cf94955866ee16180036310000000102
02:56:00: 9170409 32882 de:58:41:f0:15:7c cc03000100
02:56:00: 9170409 32883 10:12:29:87:36:d1 c01301013cb85e24d86aae46980036310000000102
02:56:00: 9170409 32884 de:58:41:f0:15:7c cc03000100
02:56:01: 9170409 32885 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:01: 9170409 32886 de:58:41:f0:15:7c cc03000100
02:56:02: 9170409 32927 25:3a:9a:69:c7:97 c00f01013c68e4b798e6ec160a00353300
02:56:02: 9170409 32928 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:02: 9170409 32929 ec:c2:e6:44:1c:88 cc03000100
02:56:02: 9170409 32930 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:02: 9170409 32931 30:42:06:7a:6a:80 c0130101326ca0a41862ec17020036310000000102
02:56:02: 9170409 32932 10:50:2b:38:e9:3d c00f01013c7dad4678e2c0438c00333000
02:56:02: 9170409 32933 1b:94:87:38:f7:ea c00f01013c9c91f3b96aca530000333000
02:56:02: 9170409 32934 de:58:41:f0:15:7c cc03000100
02:56:02: 9170409 32935 34:a3:0f:9c:68:38 c00f0101329b1e01b9e388571200343000
02:56:02: 9170409 32936 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:02: 9170409 32937 de:58:41:f0:15:7c cc03000100
02:56:02: 9170409 32938 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:02: 9170409 32939 1b:14:54:b0:ac:00 c013010148cf94955866ee16180036310000000102
02:56:03: 9170409 32952 de:58:41:f0:15:7c cc03000100
02:56:03: 9170409 32953 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:03: 9170409 32954 de:58:41:f0:15:7c cc03000100
02:56:03: 9170409 32955 1b:94:87:38:f7:ea c00f01013c9c91f3b96aca530000333000
02:56:03: 9170409 32956 ec:c2:e6:44:1c:88 cc03000100
02:56:03: 9170409 32957 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:03: 9170409 32958 34:a3:0f:9c:68:38 c00f0101329b1e01b9e388571200343000
02:56:03: 9170409 32959 de:58:41:f0:15:7c cc03000100
02:56:03: 9170409 32960 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:03: 9170409 32961 5c:6f:4e:6e:0a:02 0f110119d67718ae51602c83ac8add4399079f
02:56:03: 9170409 32962 0f:3d:c7:86:e5:a8 c013010150584a85596fec02180036310000000102
02:56:03: 9170409 32963 02:74:82:e3:cb:0a c01301013c98d162d86bce179e0002:56:04: 9170409 32972 de:58:41:f0:15:7c cc03000100
02:56:04: 9170409 32973 3d:8b:05:40:ee:f7 c013010148ae0ed43866ec16d20036310000000102
02:56:04: 9170409 32974 5c:6f:4e:6e:0a:02 0f110119d67718ae51602c83ac8add4399079f
02:56:04: 9170409 32975 02:67:35:ee:f7:32 c01301013ce82370f8678a06180036310000000102
02:56:04: 9170409 32976 25:3a:9a:69:c7:97 c00f01013c68e4b798e6ec160a00353300
02:56:04: 9170409 32977 ec:c2:e6:44:1c:88 cc03000100
02:56:04: 9170409 32978 30:42:06:7a:6a:80 c0130101326ca0a41862ec17020036310000000102
02:56:04: 9170409 32979 5c:6f:4e:6e:0a:02 0f110119d67718ae51602c83ac8add4399079f
02:56:04: 9170409 32980 ec:c2:e6:44:1c:88 cc03000100
02:56:04: 9170409 32981 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:56:04: 9170409 32982 34:a3:0f:9c:68:38 c00f0101329b1e01b9e388571200343000
