03:03:39: 9170409 43794 07:61:71:0c:e2:5c c00f01013c1fd1b37966ce430800333000
03:03:39: 9170409 43795 34:a3:0f:9c:68:38 c00f0101329b1e01b9e388571200343000
03:03:39: 9170409 43796 ec:c2:e6:44:1c:88 cc03000100
03:03:39: 9170409 43797 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:03:39: 9170409 43798 de:58:41:f0:15:7c cc03000100
03:03:39: 9170409 43799 00:bf:1a:45:54:9c c00f0101482d1e1379e3ac169600353300
03:03:39: 9170409 43800 de:58:41:f0:15:7c cc03000100
03:03:39: 9170409 43801 2f:e0:84:1e:16:ee c00f01013cfdb152b86e84028600343000
03:03:39: 9170409 43802 10:50:2b:38:e9:3d c00f01013c7dad4678e2c0438c00333000
03:03:39: 9170409 43803 ec:c2:e6:44:1c:88 cc03000100
03:03:39: 9170409 43804 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:03:39: 9170409 43805 ec:c2:e6:44:1c:88 cc03000100
03:03:39: 9170409 43806 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
