03:07:24: 9170409 48759 1b:6d:85:ef:b7:9d c0130101481af137186f8c17cc0036310000000102
03:07:24: 9170409 48760 19:44:7a:2c:4b:39 c00f01013c7eef06f862c0438600333000
03:07:24: 9170409 48761 ec:c2:e6:44:1c:88 cc03000100
03:07:24: 9170409 48762 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:07:24: 9170409 48763 de:58:41:f0:15:7c cc03000100
03:07:24: 9170409 48764 1c:66:6e:c5:15:80 c00f0101480e8847996faa539e00353300
03:07:24: 9170409 48765 ec:c2:e6:44:1c:88 cc03000100
03:07:24: 9170409 48766 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:07:24: 9170409 48767 07:20:08:10:72:37 c00f010132991e0179e38c571800343000
03:07:24: 9170409 48768 ec:c2:e6:44:1c:88 cc03000100
03:07:25: 9170409 48769 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:07:25: 9170409 48770 de:58:41:f0:15:7c cc03000100
