03:09:34: 9170409 51382 07:20:08:10:72:37 c00f010132991e0179e38c571800343000
03:09:34: 9170409 51383 de:58:41:f0:15:7c cc03000100
03:09:35: 9170409 51384 de:58:41:f0:15:7c cc03000100
03:09:35: 9170409 51385 1c:fe:6e:b9:c3:2c c01301013ced6e42d9ebac165a0036310000000102
03:09:35: 9170409 51386 de:58:41:f0:15:7c cc03000100
03:09:35: 9170409 51387 33:8e:3c:e8:51:a3 c00f01013cfdb352f8ee8012ce00343000
03:09:35: 9170409 51388 00:bf:1a:45:54:9c c00f0101482d1e1379e3ac169600353300
03:09:35: 9170409 51389 0f:d8:d6:cb:3c:75 c00f01013cdb06201867ee534200353300
03:09:35: 9170409 51390 3d:b1:e6:dd:7c:fb c00f01013c3dbbb4996788578400353300
03:09:35: 9170409 51391 de:58:41:f0:15:7c cc03000100
03:09:35: 9170409 51392 07:61:71:0c:e2:5c c00f01013c1fd1b37966ce430800333000
03:09:35: 9170409 51393 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:09:35: 9170409 51394 de:58:41:f0:15:7c cc03000100
03:09:35: 9170409 51395 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:09:35: 9170409 51396 19:44:7a:2c:4b:39 c00f01013c7eef06f862c0438600333000
03:09:36: 9170409 51408 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:09:36: 9170409 51409 1c:fe:6e:b9:c3:2c c01301013ced6e42d9ebac165a0036310000000102
03:09:36: 9170409 51410 de:58:41:f0:15:7c cc03000100
03:09:36: 9170409 51411 33:8e:3c:e8:51:a3 c00f01013cfdb352f8ee8012ce00343000
03:09:36: 9170409 51412 00:bf:1a:45:54:9c c00f0101482d1e1379e3ac169600353300
03:09:36: 9170409 51413 de:58:41:f0:15:7c cc03000100
03:09:36: 9170409 51414 3d:b1:e6:dd:7c:fb c00f01013c3dbbb4996788578400353300
03:09:36: 9170409 51415 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:09:36: 9170409 51416 13:2c:1d:97:94:15 c013010150b8b79198ebce03da0036310000000102
03:09:36: 9170409 51417 de:58:41:f0:15:7c cc03000100
03:09:36: 9170409 51418 07:61:71:0c:e2:5c c00f01013c1fd1b37966ce430800333000
03:09:36: 9170409 51419 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
03:09:36: 9170409 51420 de:58:41:f0:15:7c cc03000100
03:09:36: 9170409 51421 ec:c2:e6:44:1c:88 cc03000100
