9d90149ec09a
03:20:19: 9170409 59755 35:d7:36:da:34:cf c01301013c8fe31019e788434e0036310000000102
03:20:20: 9170409 59756 1e:20:e6:45:f0:c1 c00f010148bd8aa39966aa12c000353300
03:20:20: 9170409 59757 0b:7b:74:63:fd:75 c01301013c1f3c47f86fc8060a0036310000000102
03:20:20: 9170409 59758 45:c3:34:19:9c:2b 0f110108386302b62f68e58cc09d90149ec09a
03:20:20: 9170409 59759 73:8d:15:39:7a:b1 0f1101bffee17f04576104a1dcf97ed969a0d2
03:20:20: 9170409 59760 47:33:7a:e9:0b:f9 0f1101ccad4b08e49168128f854693d6a829c2
03:20:20: 9170409 59761 16:38:49:76:82:96 c00f010148ac5e5339e7a806dc00353300
03:20:20: 9170409 59762 2f:a7:de:87:59:21 c00f0101481f12f0596388565e00343000
03:20:20: 9170409 59763 45:c3:34:19:9c:2b 0f110108386302b62f68e58cc09d90149ec09a
03:20:20: 9170409 59764 73:8d:15:39:7a:b1 0f1101bffee17f04576104a1dcf97ed969a0d2
03:20:20: 9170409 59765 47:33:7a:e9:0b:f9 0f1101ccad4b08e49168128f854693d6a829c2
03:20:20: 9170409 59766 30:4d:ce:82:68:dd c00f01013c7eef06f862c0438600333000
03:20:20: 9170409 59767 0d:c3:f3:43:ce:41 c00f0101050fef1799e2ae021a00343000
03:20:21: 9170409 59777 45:c3:34:19:9c:2b 0f110108386302b62f68e58cc09d90149ec09a
03:20:21: 9170409 59778 73:8d:15:39:7a:b1 0f1101bffee17f04576104a1dcf97ed969a0d2
03:20:21: 9170409 59779 16:38:49:76:82:96 c00f010148ac5e5339e7a806dc00353300
03:20:21: 9170409 59780 30:4d:ce:82:68:dd c00f01013c7eef06f862c0438600333000
03:20:21: 9170409 59781 45:c3:34:19:9c:2b 0f110108386302b62f68e58cc09d90149ec09a
03:20:21: 9170409 59782 05:35:c2:51:d8:16 c00f0101032dbc67b8efec57d600353300
03:20:21: 9170409 59783 73:8d:15:39:7a:b1 0f1101bffee17f04576104a1dcf97ed969a0d2
03:20:21: 9170409 59784 47:33:7a:e9:0b:f9 0f1101ccad4b08e49168128f854693d6a829c2
03:20:22: 9170409 59794 3d:4d:a9:a4:fd:46 c01301013239ea74596fa812c20036310000000102
03:20:22: 9170409 59795 47:33:7a:e9:0b:f9 0f1101ccad4b08e49168128f854693d6a829c2
03:20:22: 9170409 59796 13:47:02:57:0e:e1 c00f01013c1d1b72b86aaa425600353300
03:20:22: 9170409 59797 16:38:49:76:82:96 c00f010148ac5e5339e7a806dc00353300
03:20:22: 9170409 59798 73:8d:15:39:7a:b1 0f1101bffee17f04576104a1dcf97ed969a0d2
03:20:22: 9170409 59799 47:33:7a:e9:0b:f9 0f1101ccad4b08e49168128f854693d6a829c2
03:20:22: 9170409 59800 30:4d:ce:82:68:dd c00f01013c7eef06f862c0438600333000
03:20:22: 9170409 59801 0d:c3:f3:43:ce:41 c00f0101050fef1799e2ae021a00343000
03:20:22: 9170409 59802 05:35:c2:51:d8:16 c00f0101032dbc67b8efec57d600353300
03:20:22: 9170409 59803 45:c3:34:19:9c:2b 0f110108386302b62f68e58cc09d90149ec09a
03:20:22: 9170409 59804 73:8d:15:39:7a:b1 0f1101bffee17f04576104a1dcf97ed969a0d2
