02:09:42: 6493638 6657 09:0a:9b:9e:17:89 c00f01015ab85a20f86b88560a00343000
02:09:43: 6493638 6659 09:17:27:32:d2:fb c00f0101482f1e13b9e3a8069e00353300
02:09:43: 6493638 6660 41:2c:4e:87:d3:c2 0f110110d29e090fdc6a68be3cf0a7dac8a0ae
02:09:43: 6493638 6661 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:43: 6493638 6662 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:43: 6493638 6663 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:43: 6493638 6664 41:2c:4e:87:d3:c2 0f110110d29e090fdc6a68be3cf0a7dac8a0ae
02:09:43: 6493638 6665 e8:ce:9b:68:56:a9 cb03020020cc03403100
02:09:44: 6493638 6666 41:2c:4e:87:d3:c2 0f110110d29e090fdc6a68be3cf0a7dac8a0ae
02:09:44: 6493638 6669 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:44: 6493638 6670 e8:ce:9b:68:56:a9 cb03020020cc03403100
02:09:44: 6493638 6672 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:44: 6493638 6673 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:44: 6493638 6674 2d:8e:86:db:e1:84 c00f01013c1cd3f379e6ce534000333000
02:09:44: 6493638 6676 e8:ce:9b:68:56:a9 cb03020020cc03403100
02:09:45: 6493638 6679 e8:ce:9b:68:56:a9 cb03020020cc03403100
02:09:45: 6493638 6682 41:2c:4e:87:d3:c2 0f110110d29e090fdc6a68be3cf0a7dac8a0ae
02:09:45: 6493638 6683 e8:ce:9b:68:56:a9 cb03020020cc03403100
02:09:45: 6493638 6684 41:2c:4e:87:d3:c2 0f110110d29e090fdc6a68be3cf0a7dac8a0ae
02:09:45: 6493638 6685 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:46: 6493638 6686 41:2c:4e:87:d3:c2 0f110110d29e090fdc6a68be3cf0a7dac8a0ae
02:09:46: 6493638 6687 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:46: 6493638 6690 41:2c:4e:87:d3:c2 0f110110d29e090fdc6a68be3cf0a7dac8a0ae
02:09:46: 6493638 6689 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:09:46: 6493638 6691 e8:ce:9b:68:56:a9 cb03020020cc03403100
02:09:46: 6493638 6692 fb:e0:d8:86:4a:a9 cb03020020cc03403100
