04:07:34: 9170409 92194 c5:db:e6:c7:48:91 cc03000000
04:07:35: 9170409 92195 cc:b5:c3:d7:d6:32 cc03000000
04:07:35: 9170409 92196 df:5f:57:9c:02:6a cc03000000
04:07:35: 9170409 92197 cc:b5:c3:d7:d6:32 cc03000000
04:07:35: 9170409 92198 cc:b5:c3:d7:d6:32 cc03000000
04:07:35: 9170409 92199 3f:23:82:3c:66:cd c00f0101327fb31278628002cc00343000
04:07:35: 9170409 92200 2f:0e:3f:ba:f5:5b c00f0101480a3227b86fac47da00353300
04:07:36: 9170409 92211 df:5f:57:9c:02:6a cc03000000
04:07:36: 9170409 92212 df:5f:57:9c:02:6a cc03000000
04:07:36: 9170409 92213 3f:23:82:3c:66:cd c00f0101327fb31278628002cc00343000
04:07:36: 9170409 92214 df:5f:57:9c:02:6a cc03000000
04:07:36: 9170409 92215 06:76:8b:45:cb:9c c0130101322e9bf058e38853060036310000000102
04:07:36: 9170409 92216 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b621d0000000000000000000000
04:07:36: 9170409 92217 0f:e0:f1:26:67:ce c00f0101323db9f419678857ce00353300
04:07:36: 9170409 92218 cc:b5:c3:d7:d6:32 cc03000000
04:07:36: 9170409 92219 cc:b5:c3:d7:d6:32 cc03000000
04:07:37: 9170409 92220 e1:51:34:af:3c:0e cc03000000
04:07:37: 9170409 92221 33:3c:6b:22:f0:38 c00f0101321f91b37966ce430800333000
04:07:37: 9170409 92222 df:5f:57:9c:02:6a cc03000000
04:07:37: 9170409 92223 09:ca:40:fe:96:20 c00f0101480dc84799ebaa53dc00353300
04:07:37: 9170409 92224 18:d1:9b:7b:b2:e5 c00f01013cfdad46b866c4438600333000
04:07:37: 9170409 92225 25:36:7f:ca:bb:a2 c00f01010f1a1e01f9eb8c571000343000
04:07:37: 9170409 92226 d2:e6:1b:e5:07:18 cc03000000
04:07:37: 9170409 92227 e1:51:34:af:3c:0e cc03000000
04:07:38: 9170409 92241 d7:e6:14:d1:1c:4c cc03000000
04:07:38: 9170409 92242 d2:e6:1b:e5:07:18 cc03000000
04:07:38: 9170409 92243 e3:de:86:9d:e3:24 cc03000000
04:07:38: 9170409 92244 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b621d0000000000000000000000
04:07:38: 9170409 92245 2f:0e:3f:ba:f5:5b c00f0101480a3227b86fac47da00353300
04:07:38: 9170409 92246 06:76:8b:45:cb:9c c0130101322e9bf058e38853060036310000000102
04:07:38: 9170409 92247 d2:e6:1b:e5:07:18 cc03000000
04:07:38: 9170409 92248 0f:e0:f1:26:67:ce c00f0101323db9f419678857ce00353300
04:07:38: 9170409 92249 e1:51:34:af:3c:0e cc03000000
04:07:38: 9170409 92250 e3:de:86:9d:e3:24 cc03000000
