04:24:09: 9170409 105222 03:04:00:df:1c:90 c013010132bb6ed339e2ae138c0036310000000102
04:24:10: 9170409 105223 0e:68:73:5a:2e:bf c01301013c386a7039e3aa13860036310000000102
04:24:10: 9170409 105224 f2:99:ac:70:23:3d cc03000000
04:24:10: 9170409 105225 2d:c0:c0:ee:0b:8c c01301010fbc6031f8e2e803dc0036310000000102
04:24:10: 9170409 105226 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b62030000000000000000000000
04:24:10: 9170409 105227 f2:99:ac:70:23:3d cc03000000
04:24:10: 9170409 105228 02:99:43:71:94:38 c00f0101329c93b339e6ca434800333000
04:24:10: 9170409 105229 f2:99:ac:70:23:3d cc03000000
04:24:10: 9170409 105230 0e:a3:30:fa:70:95 c00f0101231e0ef638eeee52ca00353300
04:24:10: 9170409 105231 f2:99:ac:70:23:3d cc03000000
04:24:10: 9170409 105232 f2:99:ac:70:23:3d cc03000000
04:24:11: 9170409 105242 f2:99:ac:70:23:3d cc03000000
04:24:12: 9170409 105243 f2:99:ac:70:23:3d cc03000000
04:24:12: 9170409 105244 0e:68:73:5a:2e:bf c01301013c386a7039e3aa13860036310000000102
04:24:12: 9170409 105245 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b62030000000000000000000000
04:24:12: 9170409 105246 f2:99:ac:70:23:3d cc03000000
04:24:12: 9170409 105247 37:fd:4f:c7:01:3a c01301013ccc70b25863ee56420036310000000102
04:24:13: 9170409 105255 f2:99:ac:70:23:3d cc03000000
04:24:13: 9170409 105256 f2:99:ac:70:23:3d cc03000000
04:24:13: 9170409 105257 f2:99:ac:70:23:3d cc03000000
