010f1c2e9719e6ec42d00036310000000102
04:25:34: 9170409 105954 01:86:b2:dc:11:1c c0130101320ccca3f866ea16d80036310000000102
04:25:34: 9170409 105955 f2:99:ac:70:23:3d cc03000000
04:25:34: 9170409 105956 31:ba:27:e4:c2:dc c01301010f3dd1e458638c47840036310000000102
04:25:34: 9170409 105957 f2:99:ac:70:23:3d cc03000000
04:25:35: 9170409 105958 0c:33:a2:40:f1:98 c01301010f1c2e9719e6ec42d00036310000000102
04:25:35: 9170409 105959 f2:99:ac:70:23:3d cc03000000
04:25:36: 9170409 105965 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b620e0000000000000000000000
04:25:36: 9170409 105966 f2:99:ac:70:23:3d cc03000000
04:25:36: 9170409 105967 0c:33:a2:40:f1:98 c01301010f1c2e9719e6ec42d00036310000000102
04:25:36: 9170409 105968 f2:99:ac:70:23:3d cc03000000
04:25:36: 9170409 105969 f2:99:ac:70:23:3d cc03000000
04:25:36: 9170409 105970 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b620e0000000000000000000000
04:25:37: 9170409 105979 f2:99:ac:70:23:3d cc03000000
04:25:38: 9170409 105980 ec:da:3b:aa:c1:3e cf0b00c42922efa819f22b620e0000000000000000000000
04:25:38: 9170409 105981 0c:33:a2:40:f1:98 c01301010f1c2e9719e6ec42d00036310000000102
04:25:38: 9170409 105982 f2:99:ac:70:23:3d cc03000000
04:25:38: 9170409 105983 f2:99:ac:70:23:3d cc03000000
04:25:39: 9170409 105991 f2:99:ac:70:23:3d cc03000000
04:25:39: 9170409 105992 f2:99:ac:70:23:3d cc03000000
04:25:39: 9170409 105993 f2:99:ac:70:23:3d cc03000000
04:25:40: 9170409 105994 f2:99:ac:70:23:3d cc03000000
04:25:40: 9170409 105995 0c:33:a2:40:f1:98 c01301010f1c2e9719e6ec42d00036310000000102
04:25:40: 9170409 105996 f2:99:ac:70:23:3d cc03000000
