02:21:12: 9170409 8531 7a:a8:d7:fe:7a:dd 0f11019e15870508ed6305925fcf40362e808e
02:21:12: 9170409 8532 cf:92:c6:76:e6:90 cc03000000
02:21:13: 9170409 8533 57:62:4d:37:b2:13 0f110146b86020dd746acba2e7a460f546aa81
02:21:13: 9170409 8534 cf:92:c6:76:e6:90 cc03000000
02:21:13: 9170409 8543 cf:92:c6:76:e6:90 cc03000000
02:21:13: 9170409 8544 57:62:4d:37:b2:13 0f110146b86020dd746acba2e7a460f546aa81
02:21:13: 9170409 8545 3a:00:95:80:c9:55 c00f01013c9e93f3f9eaca434000333000
02:21:13: 9170409 8546 cf:92:c6:76:e6:90 cc03000000
02:21:14: 9170409 8552 cf:92:c6:76:e6:90 cc03000000
02:21:14: 9170409 8553 57:62:4d:37:b2:13 0f110146b86020dd746acba2e7a460f546aa81
02:21:14: 9170409 8554 06:1c:bc:53:01:fe c01301013ce8e267186aac070a0036310000000102
02:21:14: 9170409 8555 15:ec:88:36:6e:32 c00f01013cfff152b86a84128c00343000
02:21:15: 9170409 8560 68:66:3e:6b:f4:32 0f1101e91427a11c3a629393873aa4aa8fb381
02:21:15: 9170409 8561 cf:92:c6:76:e6:90 cc03000000
02:21:15: 9170409 8562 57:62:4d:37:b2:13 0f110146b86020dd746acba2e7a460f546aa81
02:21:15: 9170409 8563 cf:92:c6:76:e6:90 cc03000000
02:21:15: 9170409 8564 2e:03:32:aa:38:c4 c00f010148bfb9f419e38c47c600353300
02:21:15: 9170409 8565 68:66:3e:6b:f4:32 0f1101e91427a11c3a629393873aa4aa8fb381
02:21:15: 9170409 8569 3a:00:95:80:c9:55 c00f01013c9e93f3f9eaca434000333000
02:21:15: 9170409 8570 68:66:3e:6b:f4:32 0f1101e91427a11c3a629393873aa4aa8fb381
02:21:15: 9170409 8571 cf:92:c6:76:e6:90 cc03000000
02:21:16: 9170409 8572 38:33:1a:ad:9b:a1 c00f0101508f10a018e3aa06c800353300
02:21:16: 9170409 8577 cf:92:c6:76:e6:90 cc03000000
02:21:16: 9170409 8578 57:62:4d:37:b2:13 0f110146b86020dd746acba2e7a460f546aa81
02:21:16: 9170409 8579 68:66:3e:6b:f4:32 0f1101e91427a11c3a629393873aa4aa8fb381
02:21:16: 9170409 8580 cf:92:c6:76:e6:90 cc03000000
02:21:17: 9170409 8586 cf:92:c6:76:e6:90 cc03000000
02:21:17: 9170409 8587 25:9e:35:79:73:2d c00f0101482c1e1379eba8069c00353300
02:21:17: 9170409 8588 cf:92:c6:76:e6:90 cc03000000
02:21:17: 9170409 8593 cf:92:c6:76:e6:90 cc03000000
02:21:17: 9170409 8594 57:62:4d:37:b2:13 0f110146b86020dd746acba2e7a460f546aa81
02:21:17: 9170409 8595 3a:00:95:80:c9:55 c00f01013c9e93f3f9eaca434000333000
02:21:17: 9170409 8596 13:e5:3c:38:69:a7 c00f010148abed1799e2ac531200333000
