02:25:11: 9170409 10189 08:13:be:a8:61:7d c00c01014899961518eeee071800
02:25:12: 9170409 10191 3a:00:95:80:c9:55 c00f01013c9e93f3f9eaca434000333000
02:25:13: 9170409 10193 25:9e:35:79:73:2d c00f0101482c1e1379eba8069c00353300
02:25:13: 9170409 10194 2e:3e:19:d0:ef:4f c00f01013c7eb352f8e28402cc00343000
02:25:14: 9170409 10195 5b:a5:98:05:0b:df 0f11019b2466fcc3c569eb9a2071b185ce9545
02:25:14: 9170409 10198 5b:a5:98:05:0b:df 0f11019b2466fcc3c569eb9a2071b185ce9545
02:25:15: 9170409 10199 25:9e:35:79:73:2d c00f0101482c1e1379eba8069c00353300
02:25:15: 9170409 10200 2e:3e:19:d0:ef:4f c00f01013c7eb352f8e28402cc00343000
02:25:15: 9170409 10201 5b:a5:98:05:0b:df 0f11019b2466fcc3c569eb9a2071b185ce9545
02:25:16: 9170409 10204 2e:3e:19:d0:ef:4f c00f01013c7eb352f8e28402cc00343000
02:25:16: 9170409 10205 38:5e:50:fe:59:2e c00f010132981e01796388475000343000
02:25:17: 9170409 10206 5b:a5:98:05:0b:df 0f11019b2466fcc3c569eb9a2071b185ce9545
02:25:18: 9170409 10210 5b:a5:98:05:0b:df 0f11019b2466fcc3c569eb9a2071b185ce9545
02:25:18: 9170409 10213 3a:00:95:80:c9:55 c00f01013c9e93f3f9eaca434000333000
02:25:19: 9170409 10215 5b:a5:98:05:0b:df 0f11019b2466fcc3c569eb9a2071b185ce9545
02:25:19: 9170409 10216 3a:00:95:80:c9:55 c00f01013c9e93f3f9eaca434000333000
02:25:20: 9170409 10218 38:5e:50:fe:59:2e c00f010132981e01796388475000343000
02:25:20: 9170409 10219 3a:00:95:80:c9:55 c00f01013c9e93f3f9eaca434000333000
02:25:21: 9170409 10223 38:5e:50:fe:59:2e c00f010132981e01796388475000343000
02:25:21: 9170409 10224 3a:00:95:80:c9:55 c00f01013c9e982c1e1379eba8069c00353300
02:25:21: 9170409 10222 2e:3e:19:d0:ef:4f c00f01013c7eb352f8e28402cc00343000
02:25:22: 9170409 10225 5b:a5:98:05:0b:df 0f11019b2466fcc3c569eb9a2071b185ce9545
02:25:22: 9170409 10228 38:5e:50:fe:59:2e c00f010132981e01796388475000343000
02:25:23: 9170409 10231 5b:a5:98:05:0b:df 0f11019b2466fcc3c569eb9a2071b185ce9545
02:25:23: 9170409 10232 2e:3e:19:d0:ef:4f c00f01013c7eb352f8e28402cc00343000
02:25:23: 9170409 10233 ec:da:3b:aa:c1:3e e200e911004f0f515558f44882d146023ed06505b0000fb0
