02:24:16: 6493638 15524 33:9c:b8:87:dd:0f c00f01013c9e93f3396ece434800333000
02:24:17: 6493638 15527 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:24:17: 6493638 15528 d2:41:72:ad:f5:27 cb03020020cc03403100
02:24:17: 6493638 15529 d2:41:72:ad:f5:27 cb03020020cc03403100
02:24:17: 6493638 15530 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:24:17: 6493638 15532 29:4f:8d:93:e9:2a c00f01013cfff35278e28002cc00343000
02:24:17: 6493638 15533 d2:41:72:ad:f5:27 cb03020020cc03403100
02:24:18: 6493638 15535 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:24:18: 6493638 15536 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:24:18: 6493638 15537 d2:41:72:ad:f5:27 cb03020020cc03403100
02:24:18: 6493638 15539 d2:41:72:ad:f5:27 cb03020020cc03403100
02:24:18: 6493638 15542 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:24:19: 6493638 15543 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:24:19: 6493638 15546 18:09:5a:34:93:a6 c01301013cbbb3c378e288479400363100000002:24:19: 6493638 15548 fb:e0:d8:86:4a:a9 cb03020020cc03403100
02:24:19: 6493638 15549 17:2d:32:8f:43:08 c00f010150b81a20f8e38c564a00343000
