02:31:55: 6493638 20276 10:d3:20:59:21:ca c01301013c2ec61658eeea46d20036310000000000
02:31:55: 6493638 20277 09:77:78:5a:68:26 c00f010148ae5e53396fac069e00353300
02:31:55: 6493638 20278 e8:ce:9b:68:56:a9 cc03403100
02:31:56: 6493638 20280 3d:e5:d2:ff:6d:fa c00f010132299316586a8c521400343000
02:31:56: 6493638 20281 e8:ce:9b:68:56:a9 cc03403100
02:31:57: 6493638 20282 33:9c:b8:87:dd:0f c00f01013c9e93f3396ece434800333000
02:31:58: 6493638 20283 e8:ce:9b:68:56:a9 cc03403100
02:31:58: 6493638 20284 e8:ce:9b:68:56:a9 cc03403100
02:32:00: 6493638 20285 e8:ce:9b:68:56:a9 cc03403100
02:32:00: 6493638 20287 e8:ce:9b:68:56:a9 cc03403100
02:32:00: 6493638 20288 09:77:78:5a:68:26 c00f010148ae5e53396fac069e00353300
02:32:00: 6493638 20289 e8:ce:9b:68:56:a9 cc03403100
02:32:01: 6493638 20291 3d:e5:d2:ff:6d:fa c00f010132299316586a8c521400343000
02:32:02: 6493638 20292 33:9c:b8:87:dd:0f c00f01013c9e93f3396ece434800333000
02:32:03: 6493638 20293 e8:ce:9b:68:56:a9 cc03403100
