f962ee02da0036310000000102
02:42:25: 9170409 18428 3a:c7:53:b8:83:4f c01301013c78d06398e7cc03580036310000000102
02:42:25: 9170409 18429 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:42:25: 9170409 18430 de:58:41:f0:15:7c cc03000100
02:42:25: 9170409 18431 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:42:25: 9170409 18432 1f:14:14:f5:04:21 c01301015a2ddce4b86aa8039e0036310000000102
02:42:25: 9170409 18433 ec:c2:e6:44:1c:88 cc03000100
02:42:25: 9170409 18434 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:42:25: 9170409 18435 de:58:41:f0:15:7c cc03000100
02:42:25: 9170409 18436 12:13:5b:5b:05:25 c00f01010fb99b2659eeca57d400353300
02:42:25: 9170409 18437 1a:bf:a7:b4:91:89 c01301013c6c2e4259efa8061a0036310000000102
02:42:25: 9170409 18438 de:58:41:f0:15:7c cc03000100
02:42:25: 9170409 18439 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:42:26: 9170409 18445 de:58:41:f0:15:7c cc03000100
02:42:26: 9170409 18446 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:42:26: 9170409 18447 de:58:41:f0:15:7c cc03000100
02:42:26: 9170409 18448 1f:1a:1d:91:78:1c c00f010132991c41b9e388475000343000
02:42:26: 9170409 18449 61:ac:09:81:bd:ac 0f11015541eec27ab66a66b1012ed2ba5010f3
02:42:26: 9170409 18450 ec:c2:e6:44:1c:88 cc03000100
02:42:26: 9170409 18451 2f:fa:0d:03:dd:af c00f01013c7def0678eac053cc00333000
02:42:26: 9170409 18452 de:58:41:f0:15:7c cc03000100
02:42:26: 9170409 18459 de:58:41:f0:15:7c cc03000100
02:42:26: 9170409 18460 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
02:42:27: 9170409 18461 0b:be:d0:bd:9b:c8 c01301013c6b6130b8678e06100036310000000102
02:42:27: 9170409 18462 de:58:41:f0:15:7c cc03000100
02:42:27: 9170409 18463 de:58:41:f0:15:7c cc03000100
02:42:27: 9170409 18464 ec:c2:e6:44:1c:88 e60e01000000000000000000000102a6
