:bd:84:0c cc03000000
02:08:21: 6985415 9927 67:f4:8d:4c:58:45 0f11013eb3ac06a6fb635b9f941ce136330432
02:08:22: 6985415 9928 f0:e9:79:bd:84:0c cc03000000
02:08:22: 6985415 9929 f0:e9:79:bd:84:0c cc03000000
02:08:22: 6985415 9930 05:07:f9:77:e9:86 c00f01013c5f1185796fc403de00343000
02:08:22: 6985415 9931 2f:5f:1b:47:71:05 c013010150895e96b9e3a8539c0036310000000000
02:08:22: 6985415 9932 f0:e9:79:bd:84:0c cc03000000
02:08:22: 6985415 9933 29:f4:ba:74:14:ff c0130101502bad5719eaac43520036310000000102
02:08:22: 6985415 9934 1f:f8:91:b6:e7:fb c0130101508e42c279e3ae52860036310000000000
02:08:22: 6985415 9935 23:e3:7a:9e:d0:8b c00f0101486a2934f9668a175800353300
02:08:22: 6985415 9936 39:c7:59:3b:73:61 c00f010148bf46a019e3e806d800353300
02:08:22: 6985415 9937 39:0c:8a:e9:4f:5e c0130101488b8a07b96ea856de0036310000000000
02:08:23: 6985415 9938 05:07:f9:77:e9:86 c00f01013c5f1185796fc403de00343000
02:08:23: 6985415 9939 26:f3:00:47:c3:8e c0130101489d60d299efa843900036310000000000
02:08:23: 6985415 9940 2f:5f:1b:47:71:05 c013010150895e96b9e3a8539c0036310000000000
02:08:23: 6985415 9941 54:a4:1a:17:76:28 0f1101d997583eb6d9639197683dddecb5ca85
02:08:23: 6985415 9942 29:f4:ba:74:14:ff c0130101502bad5719eaac43520036310000000102
02:08:23: 6985415 9943 f0:e9:79:bd:84:0c cc03000000
02:08:24: 6985415 9944 02:c9:51:80:da:1e c0130101488c5460b863e8029e0036310000000000
02:08:24: 6985415 9945 39:0c:8a:e9:4f:5e c0130101488b8a07b96ea856de0036310000000000
02:08:24: 6985415 9946 16:41:6b:ce:e2:c9 c0130101509ed91798ebc813c80036310000000000
02:08:24: 6985415 9947 05:07:f9:77:e9:86 c00f01013c5f1185796fc403de00343000
02:08:24: 6985415 9948 f0:e9:79:bd:84:0c cc03000000
02:08:24: 6985415 9949 29:f4:ba:74:14:ff c0130101502bad5719eaac43520036310000000102
02:08:24: 6985415 9950 1f:f8:91:b6:e7:fb c0130101508e42c279e3ae52860036310000000000
02:08:24: 6985415 9951 39:c7:59:3b:73:61 c00f010148bf46a019e3e806d800353300
02:08:25: 6985415 9952 39:0c:8a:e9:4f:5e c0130101488b8a07b96ea856de0036310000000000
02:08:25: 6985415 9953 16:41:6b:ce:e2:c9 c0130101509ed91798ebc813c80036310000000000
02:08:25: 6985415 9954 05:07:f9:77:e9:86 c00f01013c5f1185796fc403de00343000
02:08:25: 6985415 9955 2f:5f:1b:47:71:05 c013010150895e96b9e3a8539c0036310000000000
02:08:25: 6985415 9956 1f:f8:91:b6:e7:fb c0130101508e42c279e3ae52860036310000000000
02:08:25: 6985415 9957 f0:e9:79:bd:84:0c cc03000000
02:08:25: 6985415 9958 29:f4:ba:74:14:ff c0130101502bad5719eaac43520036310000000102
02:08:25: 6985415 9959 23:e3:7a:9e:d0:8b c00f0101486a2934f9668a175800353300
02:08:25: 6985415 9960 0f:e1:aa:c9:51:20 c00f0101480a5ec3f863ac028c00353300
02:08:25: 6985415 9961 16:13:77:b1:b8:43 c013010132bc26e0b86eee539e0036310000000000
02:08:25: 6985415 9962 f0:e9:79:bd:84:0c cc03000000
02:08:26: 6985415 9963 f0:e9:79:bd:84:0c cc03000000
02:08:26: 6985415 9964 39:0c:8a:e9:4f:5e c0130101488b8a07b96ea856de0036310000000000
02:08:26: 6985415 9965 16:41:6b:ce:e2:c9 c0130101509ed91798ebc813c80036310000000000
02:08:26
