985415 18616 f0:e9:79:bd:84:0c cc03000000
02:18:47: 6985415 18617 2f:5f:1b:47:71:05 c013010150895e96b9e3a8539c0036310000000000
02:18:47: 6985415 18618 09:4b:4d:df:c4:1e c00f01013c9b0764596aca168200353300
02:18:47: 6985415 18619 f0:e9:79:bd:84:0c cc03000000
02:18:47: 6985415 18620 f0:e9:79:bd:84:0c cc03000000
02:18:47: 6985415 18621 3c:e5:f6:71:8e:b6 c00f0101489b2df0f8e28807c400353300
02:18:47: 6985415 18622 f0:e9:79:bd:84:0c cc03000000
02:18:47: 6985415 18623 24:82:41:32:42:fe c00f0101483baa0378eaa8039e00353300
02:18:47: 6985415 18624 12:6a:e7:e1:24:a8 c0130101508c4082396baa42cc0036310000000000
02:18:47: 6985415 18625 12:6e:8c:c0:0d:e2 c0130101488ac847f96aa846960036310000000000
02:18:47: 6985415 18626 28:b7:85:70:4a:6a c00f01013c093895f86aaa468000353300
02:18:47: 6985415 18627 29:f4:ba:74:14:ff c0130101502bad5719eaac43520036310000000102
02:18:47: 6985415 18628 f0:e9:79:bd:84:0c cc03000000
02:18:47: 6985415 18629 28:31:c2:43:c4:95 c00f0101483f46a09967e8069200353300
02:18:47: 6985415 18630 13:74:f8:3f:99:dc c0130101509f9b179867c803ca0036310000000000
02:18:47: 6985415 18631 05:07:f9:77:e9:86 c00f01013c5f1185796fc403de00343000
02:18:48: 6985415 18632 f0:e9:79:bd:84:0c cc03000000
02:18:48: 6985415 18633 24:82:41:32:42:fe c00f0101483baa0378eaa8039e00353300
02:18:48: 6985415 18634 12:6a:e7:e1:24:a8 c0130101508c4082396baa42cc0036310000000000
02:18:48: 6985415 18635 12:6e:8c:c0:0d:e2 c0130101488ac847f96aa846960036310000000000
02:18:48: 6985415 18636 29:f4:ba:74:14:ff c0130101502bad5719eaac43520036310000000102
02:18:48: 6985415 18637 f0:e9:79:bd:84:0c cc03000000
02:18:48: 6985415 18638 12:6f:30:5e:5d:e5 c0130101323f66a0f8eaee439c0036310000000000
02:18:48: 6985415 18639 f0:e9:79:bd:84:0c cc03000000
02:18:48: 6985415 18640 02:c9:51:80:da:1e c0130101488c5460b863e8029e0036310000000000
02:18:48: 6985415 18641 28:31:c2:43:c4:95 c00f0101483f46a09967e8069200353300
02:18:48: 6985415 18642 13:74:f8:3f:99:dc c0130101509f9b179867c803ca0036310000000000
02:18:48: 6985415 18643 05:07:f9:77:e9:86 c00f01013c5f1185796fc403de00343000
02:18:49: 6985415 18644 f0:e9:79:bd:84:0c cc03000000
02:18:49: 6985415 18645 f0:e9:79:bd:84:0c cc03000000
02:18:49: 6985415 18646 12:6a:e7:e1:24:a8 c0130101508c4082396baa42cc0036310000000000
02:18:49: 6985415 18647 f0:e9:79:bd:84:0c cc03000000
02:18:49: 6985415 18648 12:6e:8c:c0:0d:e2 c0130101488ac847f96aa846960036310000000000
02:18:49: 6985415 18649 f0:e9:79:bd:84:0c cc03000000
02:18:49: 6985415 18650 f0:e9:79:bd:84:0c cc03000000
02:18:49: 6985415 18651 f0:e9:79:bd:84:0c cc03000000
02:18:49: 6985415 18652 28:31:c2:43:c4:95 c00f0101483f46a09967e8069200353300
02:18:49: 6985415 18653 05:07:f9:77:e9:86 c00f01013c5f1185796fc403de00343000
02:18:50: 6985415 18654 2f:5f:1b:47:71:05 c013010150895e96b9e3a8539c0036310000000000
02:18:50: 6985415 18655 f0:e9:79:bd:84:0c cc03000000
02:18:50: 6985415 18656 f0:e9:79:bd:84:0c cc03000000
02:18:50: 6985415 18657 
