02:13:37: 11572 2d:d3:6f:f1:04:55 c00f010148980144b8eec8079e00353300
02:13:37: 11573 6e:a1:22:83:a7:e0 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:13:37: 11574 18:31:e5:d3:5b:fa c00c01013cf8e77179ef8252c600
02:13:37: 11575 c0:ed:60:88:05:b4 cc03000000
02:13:37: 11576 c0:ed:60:88:05:b4 cc03000000
02:13:37: 11577 6e:a1:22:83:a7:e0 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:13:37: 11578 3d:81:84:17:a6:ce c00f01013cafaa80d8ebac06ca00353300
02:13:38: 11584 c0:ed:60:88:05:b4 cc03000000
02:13:38: 11585 c0:ed:60:88:05:b4 cc03000000
02:13:38: 11586 30:97:95:e5:85:ed c00c0101482c49465867ac025a00
02:13:38: 11587 6e:a1:22:83:a7:e0 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:13:39: 11594 c0:ed:60:88:05:b4 cc03000000
02:13:39: 11595 6e:a1:22:83:a7:e0 0f1101937d6464558f6ca2a2759616c6f5b7c6
02:13:39: 11596 30:97:95:e5:85:ed c00c0101482c49465867ac025a00
02:13:39: 11597 3d:81:84:17:a6:ce c00f01013cafaa80d8ebac06ca00353300
02:13:39: 11598 c0:ed:60:88:05:b4 cc03000000
02:13:39: 11599 3b:b2:54:33:38:16 c00c010148d8ff54b966c6439e00
