00
03:02:02: 48945 21:f0:61:18:cf:42 c00f010148ad1c133963a806dc00353300
03:02:02: 48946 2f:8e:d2:bd:04:a1 c00f010103891544186fce128200353300
03:02:02: 48947 f0:1e:6a:a1:80:e4 cc03000000
03:02:02: 48948 0c:4a:b3:25:47:80 c00f0101232e3f1219668a139a00353300
03:02:03: 48953 2f:8e:d2:bd:04:a1 c00f010103891544186fce128200353300
03:02:03: 48954 17:06:13:92:67:96 c00f01013c08a96358ee8c538200343000
03:02:03: 48955 0c:4a:b3:25:47:80 c00f0101232e3f1219668a139a00353300
03:02:03: 48956 2b:8e:de:71:b5:f8 c00f0101505c13c5b96fc0039c00343000
03:02:05: 48969 35:da:e3:16:f6:29 c00f0101051a3584d8e3ca568400353300
03:02:05: 48970 2f:8e:d2:bd:04:a1 c00f010103891544186fce128200353300
03:02:05: 48971 ef:07:11:a2:2a:b7 cc03000000
03:02:05: 48972 0c:4a:b3:25:47:80 c00f0101232e3f1219668a139a00353300
03:02:05: 48973 2b:8e:de:71:b5:f8 c00f0101505c13c5b96fc0039c00343000
03:02:06: 48980 ef:07:11:a2:2a:b7 cc03000000
03:02:06: 48981 2b:8e:de:71:b5:f8 c00f0101505c13c5b96fc0039c00343000
03:02:07: 48982 ef:07:11:a2:2a:b7 cc03000000
03:02:07: 48983 03:8c:f9:db:ad:50 c00f010105ba0a5639eeaa028200353300
03:02:07: 48986 0c:4a:b3:25:47:80 c00f0101232e3f1219668a139a00353300
03:02:07: 48987 2b:8e:de:71:b5:f8 c00f0101505c13c5b96fc0039c00343000
03:02:08: 48988 03:8c:f9:db:ad:50 c00f010105ba0a5639eeaa028200353300
03:02:08: 48993 00:16:a4:44:6a:38 cc03000000
03:02:08: 48994 2b:8e:de:71:b5:f8 c00f0101505c13c5b96fc0039c00343000
03:02:09: 48995 03:8c:f9:db:ad:50 c00f010105ba0a5639eeaa028200353300
