Hello03:11:59: 87442 c5:2d:99:40:03:18 cc03234100
03:11:59: 87443 18:42:36:35:4c:05 c00f0101622f7766586f88438800353300
03:11:59: 87444 11:ac:83:e0:e7:33 c00f01010f1f5276996688075e00343000
03:11:59: 87445 13:6a:17:64:a8:99 c00f010148a8e5f359e78e53d800353300
03:11:59: 87446 12:da:7a:72:21:d8 c00f01010f18d86619e68e060600343000
03:11:59: 87447 d8:42:06:2d:18:c6 cc03234100
03:11:59: 87448 40:9b:ee:94:88:45 0f11014c9f754ce6af600a9ce2d6f3e60daa95
03:11:59: 87449 24:d0:f2:98:68:8d c00f010105ad21e2f96e8a031a00343000
03:11:59: 87450 08:4f:a9:d0:9a:35 c00f01010fac7a92f9ebce120400353300
03:11:59: 87451 c5:2d:99:40:03:18 cc03234100
03:11:59: 87452 17:47:63:cd:7b:ab c00f01013c3e716239e7ca134a00343000
03:11:59: 87453 29:3e:74:bf:99:e1 c00f01015a2c1c53b9efa816dc00353300
03:11:59: 87454 3b:60:6e:e4:65:9e c00f01015ade11c5b96fc403dc00343000
03:11:59: 87455 22:83:90:08:9f:74 c00f010148295dd118e7ca168800353300
03:11:59: 87456 01:96:34:c3:11:45 c00f0101481e114178eaae460e00353300
03:11:59: 87457 3e:38:3d:e8:0a:7f c00f01015a1d1ae1596aaa42ca00353300
03:11:59: 87458 24:cf:2a:63:e4:c9 c00f01013cbb7bb4d8e6c8470e00353300
03:11:59: 87459 c5:2d:99:40:03:18 cc03234100
03:11:59: 87460 08:4f:a9:d0:9a:35 c00f01010fac7a92f9ebce120400353300
03:11:59: 87461 21:7f:14:73:0c:73 c00f01013c99e53419e3cc07d600353300
03:11:59: 87462 2d:6d:64:86:28:d8 c00f0101488b08453963aa52c600353300
03:11:59: 87463 3d:de:ae:7b:40:fc c00f0101239dde17596a88560600343000
03:11:59: 87464 13:6a:17:64:a8:99 c00f010148a8e5f359e78e53d800353300
03:11:59: 87465 3b:60:6e:e4:65:9e c06d:64:86:28:d8 c00f0101488b08453963aa52c600353300
03:11:59: 87441 16:9b:fc:0e:a6:72 c00f0101480c05c339628c525a00353300
03:12:00: 87480 c5:2d:99:40:03:18 cc03234100
03:12:00: 87481 29:3e:74:bf:99:e1 c00f01015a2c1c53b9efa816dc00353300
03:12:00: 87482 2d:81:b9:c4:98:90 c00f0101483e6694d9e3ac13da00353300
03:12:00: 87483 33:ac:25:8d:b2:14 c00f0101483b6b5799628e139200353300
03:12:00: 87484 10:30:e8:17:4e:49 c00f0101038dba02f86b8a025c00343000
03:12:00: 87485 d8:42:06:2d:18:c6 cc03234100
03:12:00: 87486 3e:38:3d:e8015ade11c5b96fc403dc00343000
03:12:00: 87474 39:aa:70:e3:d2:25 c00f010150982f53986a8e129800353300
03:12:00: 87475 c5:2d:99:40:03:18 cc03234100
03:12:00: 87476 29:3e:74:bf:99:e1 c00f01015a2c1c53b9efa816dc00353300
03:12:00: 87477 08:4f:a9:d0:9a:35 c00f01010fac7a92f9ebce120400353300
03:12:00: 87478 21:7f:14:73:0c:73 c00f01013c99e53419e3cc07d600353300
03:12:00: 87479 09:a3:e3:f9:9e:d1 c00f0101489d2af0386bec42ca00353300
