02:55:03: 43360 0e:5a:83:e3:a3:58 c00f0101489ce532f9e28a46dc00353300
02:55:04: 43361 d9:fb:be:b2:25:2a cc03000000
02:55:04: 43362 c7:fb:92:b3:cd:68 c30a01000d0b03083a60c125
02:55:04: 43363 0c:3d:01:04:f5:57 c00f01015a3918b47967ec52ca00353300
02:55:04: 43364 c8:24:f6:4f:97:7d cc03000000
02:55:04: 43365 18:fd:d7:69:17:80 c00f01013cae4d37f86ec8024a00343000
02:55:04: 43366 16:04:20:60:08:e5 c00f0101488ea4f0f86be8438e00353300
02:55:04: 43367 4c:0b:6d:0b:fe:f7 0f110149a010f26c026247ac43cd1c5f8a8704
02:55:04: 43368 d9:fb:be:b2:25:2a cc03000000
02:55:04: 43369 2c:8a:1d:a3:b1:76 c00f0101323dd271996eac065800343000
02:55:04: 43370 d9:fb:be:b2:25:2a cc03000000
02:55:04: 43371 28:1c:be:c3:eb:aa c00f010150dd538539efc003d600343000
02:55:04: 43372 c8:24:f6:4f:97:7d cc03000000
02:55:04: 43373 05:ea:7e:a2:df:c4 c00f010150ac46e039e7ec46c000353300
02:55:04: 43374 d9:fb:be:b2:25:2a cc03000000
02:55:04: 43375 34:9d:41:cf:f3:ab c00f01013c8d99a458e38c034400343000
02:55:04: 43376 29:8f:03:99:41:5a c00f01012329e36519eb8e528a00353300
02:55:04: 43377 c7:fb:92:b3:cd:68 c30a01000d0b03083a60c125
02:55:04: 43378 36:dc:b2:1f:67:af c00f0101502bb357d966c857d000343000
02:55:04: 43379 39:10:02:ac:05:4c c00f010150a97c7639eea8479600353300
02:55:04: 43380 d9:fb:be:b2:25:2a cc03000000
02:55:04: 43381 c7:fb:92:b3:cd:68 cc03000000
02:55:04: 43382 1d:0c:b9:90:f0:92 c00f0101482d1c53796fac16d600353300
02:55:04: 43383 36:dc:b2:1f:67:af c00f0101502bb357d966c857d000343000
02:55:04: 43384 c8:24:f6:4f:97:7d cc03000000
02:55:05: 43398 28:1c:be:c3:eb:aa c00f010150dd538539efc003d600343000
02:55:05: 43399 c7:fb:92:b3:cd:68 c30a01000d0b03083a60c125
02:55:05: 43400 d9:fb:be:b2:25:2a cc03000000
02:55:05: 43401 14:a9:9e:8a:ec:c1 c00f0101480edc6179e3a853d600353300
02:55:05: 43402 c8:24:f6:4f:97:7d cc03000000
02:55:05: 43403 5d:1d:e5:f0:77:f0 0f1101c4b772a021886beeb249debf24aa84b1
02:55:05: 43404 c7:fb:92:b3:cd:68 c30a01000d0b03083a60c125
02:55:05: 43405 c7:fb:92:b3:cd:68 cc03000000
02:55:05: 43406 c7:fb:92:b3:cd:68 c30a01000d0b03083a60c125
02:55:05: 43407 d9:fb:be:b2:25:2a cc03000000
02:55:05: 43408 39:ca:2a:43:6b:5e c00f0101238b198799e2ae025200343000
02:55:05: 43409 d9:fb:be:b2:25:2a cc03000000
02:55:05: 43410 d9:fb:be:b2:25:2a cc03000000
02:55:05: 43411 c8:24:f6:4f:97:7d cc03000000
